date,open,high,low,close,volume,prev_position,position,amount
2017-08-05 00:00:00,220.59100001,221.33399000,220.34178199,220.70000001,106.66515103,0,0,0E-8
2017-08-05 00:30:00,220.78246555,221.14132995,220.33398997,220.70000000,349.10576788,0,0,0E-8
2017-08-05 01:00:00,220.61223051,220.89998880,220.00000000,220.61837999,499.85926318,0,0,0E-8
2017-08-05 01:30:00,220.30000001,220.57999999,220.00000000,220.29832000,262.02953206,0,0,0E-8
2017-08-05 02:00:00,220.41800000,220.49845893,220.00000000,220.39999999,492.30937280,0,0,0E-8
2017-08-05 02:30:00,220.39999999,223.50000000,219.98992999,222.99000000,1503.00216478,0,0,0E-8
2017-08-05 03:00:00,223.00000000,225.00000000,222.00007001,224.99999999,3150.48570337,0,0,0E-8
2017-08-05 03:30:00,224.96999997,227.80000000,223.50008000,225.51000000,3801.02311262,0,0,0E-8
2017-08-05 04:00:00,225.51492998,228.90000000,225.50000002,228.75000400,3139.84854687,0,0,0E-8
2017-08-05 04:30:00,228.75000400,230.50000000,228.75000400,229.50000000,4966.22827648,0,0,0E-8
2017-08-05 05:00:00,229.50000001,231.00000000,228.00000000,230.30043931,4316.37777161,0,0,0E-8
2017-08-05 05:30:00,230.30043931,231.05399998,229.60000000,229.72100000,3443.29163405,0,0,0E-8
2017-08-05 06:00:00,229.72100000,231.31591728,228.50014002,230.00000001,1321.80801321,0,0,0E-8
2017-08-05 06:30:00,230.00000004,232.28888000,229.99996000,232.08000000,3512.02479392,0,0,0E-8
2017-08-05 07:00:00,232.25999999,234.02000000,232.06000000,233.95000000,2258.24245025,0,0,0E-8
2017-08-05 07:30:00,233.99999990,235.79972000,233.50000000,234.99999999,4783.18138890,0,0,0E-8
2017-08-05 08:00:00,235.00000000,235.49999990,232.73693043,235.10000001,2348.53676781,0,0,0E-8
2017-08-05 08:30:00,235.10000000,235.10000001,233.50028006,234.50000000,1335.90918139,0,0,0E-8
2017-08-05 09:00:00,234.49999999,235.00000000,234.00501041,234.65000001,1612.36658781,0,0,0E-8
2017-08-05 09:30:00,234.65000001,239.80000000,234.65000001,239.52776999,3106.98731779,0,0,0E-8
2017-08-05 10:00:00,239.80500000,240.48479999,236.17354597,237.99999999,4078.22739595,0,0,0E-8
2017-08-05 10:30:00,238.00000000,242.82828282,237.99000002,242.80000000,4018.84380984,0,0,0E-8
2017-08-05 11:00:00,242.80000000,244.44000000,240.21708749,242.70084005,4764.19256818,0,0,0E-8
2017-08-05 11:30:00,243.50000000,244.00000000,238.66000001,238.80000000,1882.16905512,0,0,0E-8
2017-08-05 12:00:00,238.80000000,240.82190003,238.00000000,239.98333160,1964.75854884,0,0,0E-8
2017-08-05 12:30:00,240.99999998,242.90999999,239.98333160,242.30000100,910.57793807,0,0,0E-8
2017-08-05 13:00:00,242.46900000,243.00000000,241.51000001,242.37999878,1524.31450319,0,0,0E-8
2017-08-05 13:30:00,242.37999878,242.37999998,240.99999999,241.20000000,886.99847024,0,0,0E-8
2017-08-05 14:00:00,241.20000000,241.40000001,239.00000001,241.40000001,1935.55204663,0,0,0E-8
2017-08-05 14:30:00,241.40007002,243.75000000,241.40007002,243.50000000,1219.53101607,0,0,0E-8
2017-08-05 15:00:00,243.50000000,244.98765431,243.50000000,243.78037701,1539.66227924,0,0,0E-8
2017-08-05 15:30:00,243.74965060,243.78037701,241.35000002,242.47000000,1705.82698491,0,0,0E-8
2017-08-05 16:00:00,242.47000000,244.20000000,241.60000001,243.97560000,883.75205843,0,0,0E-8
2017-08-05 16:30:00,243.97553000,246.57380099,243.74972000,246.53999999,6553.88341385,0,0,0E-8
2017-08-05 17:00:00,246.49999987,249.99999999,243.80000001,249.41091899,3545.23341641,0,0,0E-8
2017-08-05 17:30:00,249.41091899,263.90000000,248.58000001,254.60000000,15513.57431723,0,0,0E-8
2017-08-05 18:00:00,254.60000000,258.00000000,247.25000001,248.48011050,6424.94906349,0,0,0E-8
2017-08-05 18:30:00,248.48011050,251.10000000,247.05000000,249.23694980,3222.61032519,0,0,0E-8
2017-08-05 19:00:00,249.04461500,251.60749199,248.61216513,250.51118000,1658.60932513,0,0,0E-8
2017-08-05 19:30:00,250.60000000,250.99989996,249.00000000,249.60000000,1349.04672202,0,0,0E-8
2017-08-05 20:00:00,249.86325129,251.50000000,249.80000000,250.49999999,1045.92177224,0,0,0E-8
2017-08-05 20:30:00,250.49999999,250.79999990,249.38946007,250.79994980,680.58187575,0,0,0E-8
2017-08-05 21:00:00,250.79994980,250.79994980,243.40000000,247.13400000,3966.33797337,0,0,0E-8
2017-08-05 21:30:00,247.10000000,248.44099998,245.50000000,247.00000000,1055.14887322,0,0,0E-8
2017-08-05 22:00:00,247.00000000,249.01200000,246.00002001,249.01200000,1111.80464706,0,0,0E-8
2017-08-05 22:30:00,249.02370674,249.61234500,247.20000000,249.09000000,812.30935615,0,0,0E-8
2017-08-05 23:00:00,249.28277000,249.39600017,247.25000001,248.95000005,425.95856600,0,0,0E-8
2017-08-05 23:30:00,248.95000004,254.61683779,248.30007001,254.09000000,2472.36857843,0,0,0E-8
2017-08-06 00:00:00,254.09000000,256.29559999,253.99869465,254.00000000,2833.13062175,0,0,0E-8
2017-08-06 00:30:00,253.99869465,256.34477339,252.39000000,256.34477339,1966.02414409,0,0,0E-8
2017-08-06 01:00:00,256.40000000,263.00000000,256.10007002,260.00000001,5019.69097501,0,0,0E-8
2017-08-06 01:30:00,260.70199999,266.00000000,260.60079000,264.20000000,5405.44484728,0,0,0E-8
2017-08-06 02:00:00,264.20000000,266.49842840,261.00000000,261.08712690,3560.30736923,0,0,0E-8
2017-08-06 02:30:00,260.00000000,264.60553565,259.68000000,260.99999998,2957.56032112,0,0,0E-8
2017-08-06 03:00:00,260.99999998,261.59999999,255.00000000,257.40000000,4714.40492774,0,0,0E-8
2017-08-06 03:30:00,257.90270160,261.57741994,256.50000001,257.28636532,2567.29221214,0,0,0E-8
2017-08-06 04:00:00,257.10000001,261.27999999,257.10000000,259.86992997,1785.23409864,0,0,0E-8
2017-08-06 04:30:00,259.86800000,260.50022997,257.51007000,257.61042001,1570.99035161,0,0,0E-8
2017-08-06 05:00:00,257.62007000,258.90000000,257.10000027,257.61053990,909.28878962,0,0,0E-8
2017-08-06 05:30:00,257.20000002,257.62119003,252.10000000,254.50000000,2652.55635437,0,0,0E-8
2017-08-06 06:00:00,254.29848899,257.02933598,253.80000997,253.94007001,1147.26341704,0,0,0E-8
2017-08-06 06:30:00,253.94060624,257.98799977,253.94060624,256.11302000,905.05105806,0,0,0E-8
2017-08-06 07:00:00,256.11295116,257.38761999,254.33100020,255.28800000,1255.34821131,0,0,0E-8
2017-08-06 07:30:00,254.76943963,255.39999000,249.88855278,252.10000000,7555.49417052,0,0,0E-8
2017-08-06 08:00:00,251.99999999,254.50600001,250.99800003,254.29999900,1107.02797963,0,0,0E-8
2017-08-06 08:30:00,254.00000021,257.43189700,254.00000021,255.89792999,997.94743542,0,0,0E-8
2017-08-06 09:00:00,255.50000000,259.99999998,255.00000001,259.48077001,1457.37445489,0,0,0E-8
2017-08-06 09:30:00,259.48077000,260.48076998,258.67314238,260.09999900,1385.50805645,0,0,0E-8
2017-08-06 10:00:00,260.09999999,260.19999999,256.28592015,258.49999998,1376.04643868,0,0,0E-8
2017-08-06 10:30:00,258.68800000,258.99999999,257.28000000,258.50000000,568.31793262,0,0,0E-8
2017-08-06 11:00:00,258.86965500,259.29499999,257.28000000,257.61000001,961.91941897,0,0,0E-8
2017-08-06 11:30:00,257.70000000,259.49592999,257.70000000,258.47155000,604.04587413,0,0,0E-8
2017-08-06 12:00:00,259.19985993,259.20000000,258.07000034,259.20000000,595.07171911,0,0,0E-8
2017-08-06 12:30:00,259.20000000,259.86256384,258.26951700,258.63015893,348.38595856,0,0,0E-8
2017-08-06 13:00:00,258.30558120,259.48999965,255.07295947,255.80000000,992.89175259,0,0,0E-8
2017-08-06 13:30:00,255.97073000,258.69199951,255.53020506,257.68123289,512.38973555,0,0,0E-8
2017-08-06 14:00:00,257.67999000,258.73999994,257.60000000,257.89541990,515.34674453,0,0,0E-8
2017-08-06 14:30:00,257.88345400,261.55578589,256.82423774,261.50000000,2162.15362487,0,0,0E-8
2017-08-06 15:00:00,261.55578590,262.96734410,258.70000003,260.61000000,2842.72713446,0,0,0E-8
2017-08-06 15:30:00,260.50000000,262.85000000,260.50000000,262.39993004,1163.05366503,0,0,0E-8
2017-08-06 16:00:00,262.84430000,264.34800001,262.39993004,263.70143051,1745.86795980,0,0,0E-8
2017-08-06 16:30:00,263.70143052,267.69999998,263.70143052,266.59999999,3698.50553266,0,0,0E-8
2017-08-06 17:00:00,266.60000000,267.70000000,265.71481967,265.99999999,2782.60461712,0,0,0E-8
2017-08-06 17:30:00,266.00000000,266.20000000,263.70157003,264.60000000,2654.90492162,0,0,0E-8
2017-08-06 18:00:00,264.60000000,265.00000009,263.80049011,264.50000000,1633.64088414,0,0,0E-8
2017-08-06 18:30:00,264.74624699,265.00000000,263.70143051,264.00000000,975.45681617,0,0,0E-8
2017-08-06 19:00:00,264.07934005,265.00000000,263.65363430,265.00000000,1271.41933629,0,0,0E-8
2017-08-06 19:30:00,265.00000000,265.00000000,264.52000001,265.00000000,3955.73327183,0,0,0E-8
2017-08-06 20:00:00,265.00000000,268.00000000,264.30000009,268.00000000,4927.79419205,0,0,0E-8
2017-08-06 20:30:00,268.00000000,272.22957384,267.48599343,272.00100000,4941.99377627,0,0,0E-8
2017-08-06 21:00:00,272.00006900,273.00000000,268.50000002,268.50000003,2794.29902903,0,0,0E-8
