date,open,high,low,close,volume,prev_position,position,amount
2017-05-01 00:00:00,6.74759253,6.90000000,6.71385455,6.90000000,5106.44195914,0,0,0E-8
2017-05-01 00:30:00,6.90000000,6.92999998,6.70000000,6.77214424,5592.70775720,0,0,0E-8
2017-05-01 01:00:00,6.73200008,6.79827647,6.71480848,6.76999898,7803.76484795,0,0,0E-8
2017-05-01 01:30:00,6.80000000,6.90300000,6.77000001,6.88311000,3648.32558480,0,0,0E-8
2017-05-01 02:00:00,6.89000000,6.91664567,6.86000000,6.86444596,6115.97570873,0,0,0E-8
2017-05-01 02:30:00,6.91664458,6.97010000,6.86444854,6.97010000,12053.57382159,0,0,0E-8
2017-05-01 03:00:00,6.96312990,7.06000000,6.95000001,7.00000000,19992.90228341,0,0,0E-8
2017-05-01 03:30:00,7.00000000,7.03999926,6.95000000,6.95000010,2829.13918075,0,0,0E-8
2017-05-01 04:00:00,6.95000012,7.00000000,6.94502334,7.00000000,9093.37863505,0,0,0E-8
2017-05-01 04:30:00,7.05500000,7.13307378,7.01000011,7.13307374,13552.73404585,0,0,0E-8
2017-05-01 05:00:00,7.13307377,7.15000000,7.05075274,7.12247242,11408.33157923,0,0,0E-8
2017-05-01 05:30:00,7.06247265,7.11247226,6.98167036,7.00000100,12372.47375525,0,0,0E-8
2017-05-01 06:00:00,7.06499940,7.09098828,7.00000000,7.03000049,8828.43010085,0,0,0E-8
2017-05-01 06:30:00,7.09098901,7.09098901,7.03000050,7.05000001,2970.80478689,0,0,0E-8
2017-05-01 07:00:00,7.04500003,7.09000000,7.04500000,7.08010012,3359.65731256,0,0,0E-8
2017-05-01 07:30:00,7.06010019,7.20000000,7.06010018,7.20000000,15087.84690441,0,0,0E-8
2017-05-01 08:00:00,7.20000000,7.59100000,7.20000000,7.58556000,32787.81872606,0,0,0E-8
2017-05-01 08:30:00,7.58555999,7.58555999,7.45076558,7.47000000,22157.17895058,0,0,0E-8
2017-05-01 09:00:00,7.45232586,7.48999974,7.29046812,7.30000000,23849.13464024,0,0,0E-8
2017-05-01 09:30:00,7.30000001,7.40799999,7.29046812,7.40300000,5255.47365865,0,0,0E-8
2017-05-01 10:00:00,7.40300000,7.44999838,7.38852096,7.44379973,2893.66138946,0,0,0E-8
2017-05-01 10:30:00,7.38852256,7.68000000,7.38852256,7.67999974,11961.12438160,0,0,0E-8
2017-05-01 11:00:00,7.66512357,7.69999998,7.56573074,7.69900000,11731.30266053,0,0,0E-8
2017-05-01 11:30:00,7.70228672,7.83999999,7.64267771,7.81000001,15981.06590423,0,0,0E-8
2017-05-01 12:00:00,7.82000000,7.90787861,7.81000000,7.89874859,11818.45519185,0,0,0E-8
2017-05-01 12:30:00,7.91000000,8.01499984,7.83892082,7.92999999,33268.17979263,0,0,0E-8
2017-05-01 13:00:00,7.93000000,7.96361146,7.54000003,7.54000003,38337.00305477,0,0,0E-8
2017-05-01 13:30:00,7.54000001,7.71193208,7.35000003,7.68000001,48774.33969459,0,0,0E-8
2017-05-01 14:00:00,7.68000000,7.69400000,7.35000000,7.35000001,39815.88620397,0,0,0E-8
2017-05-01 14:30:00,7.38399997,7.48129584,6.60000000,7.00500011,83304.40880156,0,0,0E-8
2017-05-01 15:00:00,7.09999997,7.25880333,6.83466211,7.10060659,36666.99438950,0,0,0E-8
2017-05-01 15:30:00,7.10060659,7.19639939,6.83560003,7.00000002,49197.91475441,0,0,0E-8
2017-05-01 16:00:00,7.00606706,7.36000000,6.87999934,7.33999760,25210.98267193,0,0,0E-8
2017-05-01 16:30:00,7.33999760,7.43721091,7.11000000,7.12000000,16437.92368603,0,0,0E-8
2017-05-01 17:00:00,7.11100000,7.11999995,6.55000000,6.59999997,42146.48169278,0,0,0E-8
2017-05-01 17:30:00,6.59999994,7.01667870,6.58000000,6.75999999,40314.28208029,0,0,0E-8
2017-05-01 18:00:00,6.83999927,7.11280198,6.74000022,6.88000000,15468.83871390,0,0,0E-8
2017-05-01 18:30:00,6.88000000,6.99873008,6.85517341,6.94458655,10359.35459044,0,0,0E-8
2017-05-01 19:00:00,6.94872891,7.22999998,6.94872891,7.12420011,10933.86367228,0,0,0E-8
2017-05-01 19:30:00,7.16999997,7.23720709,7.08255818,7.22660000,8967.49477439,0,0,0E-8
2017-05-01 20:00:00,7.24153900,7.34999994,7.12981859,7.18170010,8882.57736449,0,0,0E-8
2017-05-01 20:30:00,7.18180005,7.22500000,7.02673082,7.03500000,9161.82907927,0,0,0E-8
2017-05-01 21:00:00,7.02310243,7.04499951,6.80051018,6.90999997,13165.35198611,0,0,0E-8
2017-05-01 21:30:00,6.93100000,7.02015509,6.85000001,6.89000002,9712.04400371,0,0,0E-8
2017-05-01 22:00:00,6.89330987,7.04990000,6.89330984,7.04989999,4593.79076852,0,0,0E-8
2017-05-01 22:30:00,7.02009001,7.07777767,6.87000000,7.01989987,8035.92104538,0,0,0E-8
2017-05-01 23:00:00,7.01989970,7.13563719,6.95000001,7.12950000,6934.21897942,0,0,0E-8
2017-05-01 23:30:00,7.13563719,7.27000000,7.09995901,7.24790001,8541.55313284,0,0,0E-8
2017-05-02 00:00:00,7.27000000,7.50000000,7.23717550,7.43000001,21061.24030296,0,0,0E-8
2017-05-02 00:30:00,7.43000000,7.45720440,7.32426745,7.45502455,6791.66129096,0,0,0E-8
2017-05-02 01:00:00,7.45720440,7.54769519,7.43000022,7.50999999,18799.24167424,0,0,0E-8
2017-05-02 01:30:00,7.53999927,7.53999927,7.38918385,7.42000001,4744.92208569,0,0,0E-8
2017-05-02 02:00:00,7.47998866,7.48572354,7.37906481,7.42000000,6868.70496929,0,0,0E-8
2017-05-02 02:30:00,7.41000000,7.44699999,7.23799974,7.25144788,7499.07274878,0,0,0E-8
2017-05-02 03:00:00,7.23625294,7.33038055,7.20739380,7.30000000,5280.16367647,0,0,0E-8
2017-05-02 03:30:00,7.32000001,7.40000000,7.30000000,7.39847675,1491.66055192,0,0,0E-8
2017-05-02 04:00:00,7.41000000,7.49999899,7.40649849,7.41000002,6254.46417546,0,0,0E-8
2017-05-02 04:30:00,7.41000001,7.44999999,7.27389755,7.37499875,5509.22065978,0,0,0E-8
2017-05-02 05:00:00,7.37399694,7.39999984,7.28500006,7.32069151,2456.75317672,0,0,0E-8
2017-05-02 05:30:00,7.31000000,7.36699942,7.26868113,7.28000000,2238.39942362,0,0,0E-8
2017-05-02 06:00:00,7.30000000,7.34000000,7.28000000,7.34000000,1145.81737739,0,0,0E-8
2017-05-02 06:30:00,7.31000001,7.34000000,7.28172830,7.28172830,2276.88070068,0,0,0E-8
2017-05-02 07:00:00,7.28000000,7.32975519,7.26900000,7.27875765,7354.78342631,0,0,0E-8
2017-05-02 07:30:00,7.28000002,7.31966653,7.25000000,7.25000003,8584.20415173,0,0,0E-8
2017-05-02 08:00:00,7.25000001,7.26000000,7.14145252,7.15642684,18422.66034614,0,0,0E-8
2017-05-02 08:30:00,7.12096585,7.14145252,6.94172906,7.04989999,21068.13072998,0,0,0E-8
2017-05-02 09:00:00,7.01000001,7.04999997,6.75100000,6.78096042,30868.19773243,0,0,0E-8
2017-05-02 09:30:00,6.78096041,6.90000000,6.59949991,6.89999985,25194.28009276,0,0,0E-8
2017-05-02 10:00:00,6.89699981,6.98000913,6.73291276,6.97499999,11575.72950314,0,0,0E-8
2017-05-02 10:30:00,6.97499999,7.05600000,6.77000094,6.77000164,20524.22086854,0,0,0E-8
2017-05-02 11:00:00,6.77000169,6.86293204,6.70000004,6.75000001,21672.78304523,0,0,0E-8
2017-05-02 11:30:00,6.78999999,6.97778060,6.70000005,6.88001004,14768.30697242,0,0,0E-8
2017-05-02 12:00:00,6.88000100,6.93454268,6.75000002,6.86600100,10288.75303681,0,0,0E-8
2017-05-02 12:30:00,6.85600004,6.96000177,6.85600003,6.92500002,3515.35179977,0,0,0E-8
2017-05-02 13:00:00,6.92500001,6.95989999,6.75100000,6.76100001,9021.43024698,0,0,0E-8
2017-05-02 13:30:00,6.76100001,6.98000000,6.73410067,6.94441020,10307.92609825,0,0,0E-8
